GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_000005845.2	854978	GCF_000005845.2	854998	
GCA_000008865.1	9668	GCF_000008865.1	30448	
GCA_000026345.1	27148	GCF_000026345.1	45308	
GCA_000183345.1	232888	GCF_000183345.1	379848	
GCA_000299455.1	427558	GCF_000299455.1	428948	
GCA_000007445.1	8248	GCF_000007445.1	29028	
GCA_000009565.2	238888	GCF_000009565.1	380458	
GCA_000010245.1	11048	GCF_000010245.2	404928	
GCA_000010385.1	11188	GCF_000010385.1	31888	
GCA_000010485.1	11288	GCF_000010485.1	380618	
GCA_000010745.1	11548	GCF_000010745.1	104028	
GCA_000010765.1	11568	GCF_000010765.1	104088	
GCA_000013265.1	14068	GCF_000013265.1	34368	
GCA_000013305.1	14108	GCF_000013305.1	34408	
GCA_000014845.1	15648	GCF_000014845.1	35948	
GCA_000017745.1	18548	GCF_000017745.1	38848	
GCA_000017765.1	18568	GCF_000017765.1	38868	
GCA_000017985.1	18788	GCF_000017985.1	39088	
GCA_000019385.1	20188	GCF_000019385.1	40428	
GCA_000019425.1	20228	GCF_000019425.1	40468	
GCA_000019645.1	20448	GCF_000019645.1	40688	
GCA_000021125.1	21928	GCF_000021125.1	42148	
GCA_000022225.1	23028	GCF_000022225.1	43188	
GCA_000022345.1	23148	GCF_000022345.1	43288	
GCA_000022665.2	170118	GCF_000022665.1	380598	
GCA_000023365.1	24168	GCF_000023365.1	377418	
GCA_000023665.1	24468	GCF_000023665.1	44328	
GCA_000025165.1	25968	GCF_000025165.1	110028	
GCA_000025745.1	26548	GCF_000025745.1	377558	
GCA_000026245.1	27048	GCF_000026245.1	45208	
GCA_000026265.1	27068	GCF_000026265.1	45228	
GCA_000026285.1	315258	GCF_000026285.1	45248	
GCA_000026545.1	27348	GCF_000026545.1	45468	
GCA_000027125.1	27928	GCF_000027125.1	379828	
GCA_000091005.1	111638	GCF_000091005.1	274238	
GCA_000147855.3	245538	GCF_000147855.2	359678	
GCA_000148365.1	171148	GCF_000148365.1	377578	
GCA_000148605.1	171538	GCF_000148605.1	377438	
GCA_000184185.1	237488	GCF_000184185.1	377458	
GCA_000210475.1	273038	GCF_000210475.1	379808	
GCA_000212715.2	516798	GCF_000212715.2	516818	
GCA_000219515.3	1814698	GCF_000219515.2	1829658	
GCA_000227625.1	306448	GCF_000227625.1	377498	
GCA_000233875.1	313628	GCF_000233875.1	377518	
GCA_000233895.1	313648	GCF_000233895.1	377538	
GCA_000245515.1	351778	GCF_000245515.1	379608	
GCA_000257275.1	367398	GCF_000257275.1	378418	
GCA_000258025.1	368228	GCF_000258025.1	378558	
GCA_000258145.1	368318	GCF_000258145.1	378358	
GCA_000262125.1	443558	GCF_000262125.1	443578	
GCA_000270105.1	389078	GCF_000270105.1	392138	
GCA_000284495.1	408478	GCF_000284495.1	408498	
GCA_000285655.3	1715898	GCF_000285655.3	1720358	
GCA_000299255.1	427128	GCF_000299255.1	452038	
GCA_000299475.1	427578	GCF_000299475.1	428888	
GCA_000332755.1	526878	GCF_000332755.1	528898	
GCA_000350185.1	566178	GCF_000350185.1	566198	
GCA_000468515.1	783338	GCF_000468515.1	787448	
GCA_000474035.1	793118	N/A	N/A	
GCA_000493755.1	850618	GCF_000493755.1	854228	
GCA_000499485.1	862098	GCF_000499485.1	1491478	
GCA_000520035.1	893088	GCF_000520035.1	1495618	
GCA_000520055.1	893108	GCF_000520055.1	1495418	
GCA_000597845.1	972258	GCF_000597845.1	1523868	
GCA_000599625.1	974368	GCF_000599625.1	1495718	
GCA_000599645.1	974388	GCF_000599645.1	1495758	
GCA_000599665.1	974408	GCF_000599665.1	1495058	
GCA_000599685.1	974428	GCF_000599685.1	1495298	
GCA_000599705.1	974448	GCF_000599705.1	1495038	
GCA_000662395.1	1039318	GCF_000662395.1	1495818	
GCA_000671295.1	1048278	GCF_000671295.1	1495558	
GCA_000714595.1	1153248	GCF_000714595.1	1495658	
GCA_000725305.1	1169278	GCF_000725305.1	1494998	
GCA_000730345.1	1174718	GCF_000730345.1	1503498	
GCA_000732965.1	1177868	GCF_000732965.1	1495468	
GCA_000743255.1	1191458	GCF_000743255.1	1495278	
GCA_000750555.1	1198568	GCF_000750555.1	1495078	
GCA_000784925.1	1386028	GCF_000784925.1	1494838	
GCA_000800215.1	1419148	GCF_000800215.1	1495838	
GCA_000800765.1	1420238	GCF_000800765.1	1489608	
